Palabra 1,Palabra 2,Similitud
123157T,123158T,0.86
123157T,123159T,0.86
123158T,123159T,0.86
123160T,123161T,0.86
146659T1,146659T2,0.88
146659T1,146659T3,0.88
146659T2,146659T3,0.88
146660T1,146660T2,0.88
146660T1,146660T3,0.88
146660T2,146660T3,0.88
146916,146917,0.83
146916,146918,0.83
146917,146918,0.83
150700A/01,150700A/02,0.9
150700A/01,150700B/01,0.9
161159T1,161159T2,0.88
16625S,16626S,0.83
16625S,16627S,0.83
16625S,16628S,0.83
16625S,16629S,0.83
16626S,16627S,0.83
16626S,16628S,0.83
16626S,16629S,0.83
16627S,16628S,0.83
16627S,16629S,0.83
16628S,16629S,0.83
16630S,16631S,0.83
185466,185636,0.83
185466,185766,0.83
185634,185635,0.83
185634,185636,0.83
185635,185636,0.83
185635,185765,0.83
185636,185766,0.83
185765,185766,0.83
185765,185767,0.83
185766,185767,0.83
1ZBR60816,1ZBR60817,0.89
1ZBR60816,1ZBR60818,0.89
1ZBR60817,1ZBR60818,0.89
30N14081601,30N14081602,0.91
30N14081601,30N14081603,0.91
30N14081602,30N14081603,0.91
359110,359111,0.83
364072,364073,0.83
364072,364074,0.83
364072,364075,0.83
364072,364076,0.83
364072,364077,0.83
364072,364078,0.83
364073,364074,0.83
364073,364075,0.83
364073,364076,0.83
364073,364077,0.83
364073,364078,0.83
364074,364075,0.83
364074,364076,0.83
364074,364077,0.83
364074,364078,0.83
364075,364076,0.83
364075,364077,0.83
364075,364078,0.83
364076,364077,0.83
364076,364078,0.83
364077,364078,0.83
5337PA196-02,5337PA196-03,0.92
5337PA196-02,5337PA196-04,0.92
5337PA196-02,5337PA196-05,0.92
5337PA196-02,5337PA196-06,0.92
5337PA196-03,5337PA196-04,0.92
5337PA196-03,5337PA196-05,0.92
5337PA196-03,5337PA196-06,0.92
5337PA196-04,5337PA196-05,0.92
5337PA196-04,5337PA196-06,0.92
5337PA196-05,5337PA196-06,0.92
551873,551874,0.83
551873,551875,0.83
551874,551875,0.83
6620500,6620501,0.86
6620500,6620502,0.86
6620500,6620503,0.86
6620501,6620502,0.86
6620501,6620503,0.86
6620502,6620503,0.86
750005-01,750006-01,0.89
760026-01,760046-01,0.89
760045-01,760046-01,0.89
760045-01,760047-01,0.89
760046-01,760047-01,0.89
770003-01,770023-01,0.89
770021-01,770023-01,0.89
770021-01,770027-01,0.89
770021-01,770028-01,0.89
770023-01,770027-01,0.89
770023-01,770028-01,0.89
770027-01,770028-01,0.89
B611544,B611545,0.86
B615151,B615152,0.86
B615151,B615153,0.86
B615152,B615153,0.86
D518290,D518291,0.86
D518290,D518292,0.86
D518290,D518293,0.86
D518290,D518294,0.86
D518290,D518295,0.86
D518291,D518292,0.86
D518291,D518293,0.86
D518291,D518294,0.86
D518291,D518295,0.86
D518292,D518293,0.86
D518292,D518294,0.86
D518292,D518295,0.86
D518293,D518294,0.86
D518293,D518295,0.86
D518294,D518295,0.86
HST15082-1-1,HST15082-1-2,0.92
HST15082-1-1,HST15082-1-3,0.92
HST15082-1-2,HST15082-1-3,0.92
L-10802,L-10803,0.86
L-30108,L-30158,0.86
L-30155,L-30157,0.86
L-30155,L-30158,0.86
L-30157,L-30158,0.86
L-30157,L-30507,0.86
L-30229,L-30249,0.86
L-30230,L-30300,0.86
L-30230,L-30306,0.86
L-30230,L-30307,0.86
L-30230,L-30330,0.86
L-30249,L-30493,0.86
L-30300,L-30306,0.86
L-30300,L-30307,0.86
L-30300,L-30330,0.86
L-30306,L-30307,0.86
L-30306,L-30330,0.86
L-30306,L-30406,0.86
L-30306,L-30436,0.86
L-30306,L-30506,0.86
L-30307,L-30330,0.86
L-30307,L-30507,0.86
L-30406,L-30436,0.86
L-30406,L-30506,0.86
L-30436,L-30443,0.86
L-30436,L-30493,0.86
L-30442,L-30443,0.86
L-30443,L-30493,0.86
L-30506,L-30507,0.86
LP-000471,LP-000472,0.89
LP-000471,LP-000473,0.89
LP-000471,LP-000474,0.89
LP-000471,LP-000475,0.89
LP-000471,LP-000476,0.89
LP-000472,LP-000473,0.89
LP-000472,LP-000474,0.89
LP-000472,LP-000475,0.89
LP-000472,LP-000476,0.89
LP-000473,LP-000474,0.89
LP-000473,LP-000475,0.89
LP-000473,LP-000476,0.89
LP-000474,LP-000475,0.89
LP-000474,LP-000476,0.89
LP-000475,LP-000476,0.89
LP-000584,LP-000598,0.89
P186248,P186249,0.86
P186248,P186254,0.86
P186249,P186254,0.86
P186250,P186254,0.86
P186250,P186255,0.86
P186250,P186256,0.86
P186250,P186257,0.86
P186254,P186255,0.86
P186254,P186256,0.86
P186254,P186257,0.86
P186255,P186256,0.86
P186255,P186257,0.86
P186256,P186257,0.86
PA277-01,PA277-02,0.88
PA277-01,PA277-03,0.88
PA277-02,PA277-03,0.88
V101038,V101039,0.86
V101038,V101043,0.86
V101039,V101043,0.86
V101040,V101041,0.86
V101040,V101042,0.86
V101040,V101043,0.86
V101040,V101044,0.86
V101041,V101042,0.86
V101041,V101043,0.86
V101041,V101044,0.86
V101042,V101043,0.86
V101042,V101044,0.86
V101043,V101044,0.86
V147101,V147102,0.86
V147101,V147103,0.86
V147101,V147104,0.86
V147101,V147105,0.86
V147101,V147106,0.86
V147101,V147107,0.86
V147102,V147103,0.86
V147102,V147104,0.86
V147102,V147105,0.86
V147102,V147106,0.86
V147102,V147107,0.86
V147103,V147104,0.86
V147103,V147105,0.86
V147103,V147106,0.86
V147103,V147107,0.86
V147104,V147105,0.86
V147104,V147106,0.86
V147104,V147107,0.86
V147105,V147106,0.86
V147105,V147107,0.86
V147106,V147107,0.86
V180401,V180402,0.86
V180401,V180403,0.86
V180402,V180403,0.86
